PPN_TP_Record,GND_ID
86884662,http://d-nb.info/gnd/118543636
86884654,http://d-nb.info/gnd/118543628
08688459X,http://d-nb.info/gnd/118543563
86884484,http://d-nb.info/gnd/118543458
08688414X,http://d-nb.info/gnd/118543113
86884131,http://d-nb.info/gnd/118543105
86884018,http://d-nb.info/gnd/118542982
86883739,http://d-nb.info/gnd/118542702
86883704,http://d-nb.info/gnd/118542672
86883690,http://d-nb.info/gnd/118542664
86883682,http://d-nb.info/gnd/118542656
86883658,http://d-nb.info/gnd/118542621
86883402,http://d-nb.info/gnd/118542370
86883305,http://d-nb.info/gnd/118542273
86883283,http://d-nb.info/gnd/118542257
86883224,http://d-nb.info/gnd/118542192
86882988,http://d-nb.info/gnd/118541951
86882945,http://d-nb.info/gnd/118541919
86882821,http://d-nb.info/gnd/11854179X
86882767,http://d-nb.info/gnd/118541730
86882759,http://d-nb.info/gnd/118541722
86882678,http://d-nb.info/gnd/118541641
86882600,http://d-nb.info/gnd/118541579
86882511,http://d-nb.info/gnd/11854148X
86882384,http://d-nb.info/gnd/118541358
86882325,http://d-nb.info/gnd/118541293
86882112,http://d-nb.info/gnd/118541080
86882090,http://d-nb.info/gnd/118541064
08688199X,http://d-nb.info/gnd/118540963
86881965,http://d-nb.info/gnd/118540939
86881663,http://d-nb.info/gnd/118540637
86881639,http://d-nb.info/gnd/118540602
86881590,http://d-nb.info/gnd/118540564
86881582,http://d-nb.info/gnd/118540556
86881574,http://d-nb.info/gnd/118540548
86881523,http://d-nb.info/gnd/118540491
86881507,http://d-nb.info/gnd/118540475
86881450,http://d-nb.info/gnd/118540424
86881264,http://d-nb.info/gnd/118540238
86881205,http://d-nb.info/gnd/118540173
86881167,http://d-nb.info/gnd/118540130
08688090X,http://d-nb.info/gnd/118539876
86880888,http://d-nb.info/gnd/11853985X
86880802,http://d-nb.info/gnd/118539779
86880551,http://d-nb.info/gnd/118539523
86880535,http://d-nb.info/gnd/118539507
86880470,http://d-nb.info/gnd/118539442
86880179,http://d-nb.info/gnd/118539124
86879960,http://d-nb.info/gnd/118538918
86879928,http://d-nb.info/gnd/11853887X
08687988X,http://d-nb.info/gnd/118538837
86879855,http://d-nb.info/gnd/118538802
86879537,http://d-nb.info/gnd/118538489
86879464,http://d-nb.info/gnd/118538411
86878980,http://d-nb.info/gnd/118537938
86878697,http://d-nb.info/gnd/118537636
86878611,http://d-nb.info/gnd/118537555
86878263,http://d-nb.info/gnd/118537202
86878093,http://d-nb.info/gnd/118537032
08687778X,http://d-nb.info/gnd/118536729
86877771,http://d-nb.info/gnd/118536710
86877763,http://d-nb.info/gnd/118536702
86877739,http://d-nb.info/gnd/118536672
86877526,http://d-nb.info/gnd/11853646X
86877496,http://d-nb.info/gnd/118536435
86877445,http://d-nb.info/gnd/118536389
86877194,http://d-nb.info/gnd/118536133
08687716X,http://d-nb.info/gnd/118536109
86877135,http://d-nb.info/gnd/118536079
86877070,http://d-nb.info/gnd/11853601X
86877054,http://d-nb.info/gnd/118535994
86877046,http://d-nb.info/gnd/118535986
86876953,http://d-nb.info/gnd/118535897
86876937,http://d-nb.info/gnd/118535870
86876864,http://d-nb.info/gnd/118535803
86876724,http://d-nb.info/gnd/118535668
86876694,http://d-nb.info/gnd/118535633
86876678,http://d-nb.info/gnd/118535617
86876635,http://d-nb.info/gnd/118535579
86876511,http://d-nb.info/gnd/118535455
86876422,http://d-nb.info/gnd/118535366
86876406,http://d-nb.info/gnd/11853534X
86876384,http://d-nb.info/gnd/118535323
86876376,http://d-nb.info/gnd/118535315
86876333,http://d-nb.info/gnd/118535277
86876236,http://d-nb.info/gnd/11853517X
86876074,http://d-nb.info/gnd/118535013
08687599X,http://d-nb.info/gnd/118534939
86875981,http://d-nb.info/gnd/118534920
86875965,http://d-nb.info/gnd/118534904
86875957,http://d-nb.info/gnd/118534890
08687585X,http://d-nb.info/gnd/118534793
86875809,http://d-nb.info/gnd/118534742
86875795,http://d-nb.info/gnd/118534734
86875698,http://d-nb.info/gnd/118534637
86875590,http://d-nb.info/gnd/11853453X
86875388,http://d-nb.info/gnd/118534327
86875361,http://d-nb.info/gnd/118534300
86875329,http://d-nb.info/gnd/118534262
86874934,http://d-nb.info/gnd/118533878
08687490X,http://d-nb.info/gnd/118533843
86874845,http://d-nb.info/gnd/118533789
86874829,http://d-nb.info/gnd/118533754
86874497,http://d-nb.info/gnd/118533428
86874063,http://d-nb.info/gnd/118532995
86874020,http://d-nb.info/gnd/118532952
86873903,http://d-nb.info/gnd/118532839
86873822,http://d-nb.info/gnd/118532758
86873792,http://d-nb.info/gnd/118532723
86873784,http://d-nb.info/gnd/118532715
86873733,http://d-nb.info/gnd/118532669
86873520,http://d-nb.info/gnd/118532456
86873458,http://d-nb.info/gnd/118532383
08687344X,http://d-nb.info/gnd/118532375
86873210,http://d-nb.info/gnd/118532146
86873148,http://d-nb.info/gnd/118532073
86873075,http://d-nb.info/gnd/118532006
86872796,http://d-nb.info/gnd/118531719
86872788,http://d-nb.info/gnd/118531700
86872699,http://d-nb.info/gnd/118531611
86872508,http://d-nb.info/gnd/118531425
86872478,http://d-nb.info/gnd/118531395
86872354,http://d-nb.info/gnd/118531271
86872222,http://d-nb.info/gnd/11853114X
86871978,http://d-nb.info/gnd/118530895
86871749,http://d-nb.info/gnd/118530666
86871617,http://d-nb.info/gnd/118530534
86871579,http://d-nb.info/gnd/118530496
86871463,http://d-nb.info/gnd/118530380
86871447,http://d-nb.info/gnd/118530364
86871153,http://d-nb.info/gnd/118530062
86871048,http://d-nb.info/gnd/118529951
08687103X,http://d-nb.info/gnd/118529943
08687098X,http://d-nb.info/gnd/118529897
86870939,http://d-nb.info/gnd/118529846
86870904,http://d-nb.info/gnd/118529811
86870890,http://d-nb.info/gnd/118529803
86870785,http://d-nb.info/gnd/118529692
86870750,http://d-nb.info/gnd/118529668
86870661,http://d-nb.info/gnd/118529579
08687053X,http://d-nb.info/gnd/118529447
86870483,http://d-nb.info/gnd/118529390
86870424,http://d-nb.info/gnd/118529331
86870351,http://d-nb.info/gnd/118529269
86870122,http://d-nb.info/gnd/11852903X
86869957,http://d-nb.info/gnd/118528866
86869949,http://d-nb.info/gnd/118528858
86869930,http://d-nb.info/gnd/11852884X
86869914,http://d-nb.info/gnd/118528823
86869795,http://d-nb.info/gnd/11852870X
08686968X,http://d-nb.info/gnd/118528599
86869493,http://d-nb.info/gnd/118528408
86869353,http://d-nb.info/gnd/118528262
86869337,http://d-nb.info/gnd/118528246
86869329,http://d-nb.info/gnd/118528238
86869205,http://d-nb.info/gnd/118528114
86868993,http://d-nb.info/gnd/118527908
86868888,http://d-nb.info/gnd/118527797
86868624,http://d-nb.info/gnd/118527533
86868616,http://d-nb.info/gnd/118527525
86868551,http://d-nb.info/gnd/118527460
86868144,http://d-nb.info/gnd/118527053
86868047,http://d-nb.info/gnd/118526952
08686792X,http://d-nb.info/gnd/118526839
86867725,http://d-nb.info/gnd/118526634
86867520,http://d-nb.info/gnd/11852643X
86867466,http://d-nb.info/gnd/118526375
86867334,http://d-nb.info/gnd/118526243
86867296,http://d-nb.info/gnd/118526200
86867253,http://d-nb.info/gnd/118526162
86867199,http://d-nb.info/gnd/118526103
86867105,http://d-nb.info/gnd/118526014
86867091,http://d-nb.info/gnd/118526006
86867075,http://d-nb.info/gnd/118525980
86866850,http://d-nb.info/gnd/11852576X
86866818,http://d-nb.info/gnd/118525727
86866656,http://d-nb.info/gnd/118525565
86866443,http://d-nb.info/gnd/118525352
08686632X,http://d-nb.info/gnd/118525239
86866095,http://d-nb.info/gnd/11852500X
86865951,http://d-nb.info/gnd/118524860
86865935,http://d-nb.info/gnd/118524844
86865900,http://d-nb.info/gnd/11852481X
86865641,http://d-nb.info/gnd/118524550
86865625,http://d-nb.info/gnd/118524534
86865552,http://d-nb.info/gnd/118524461
86865420,http://d-nb.info/gnd/11852433X
86865382,http://d-nb.info/gnd/118524291
86865218,http://d-nb.info/gnd/118524127
86865196,http://d-nb.info/gnd/118524100
86865110,http://d-nb.info/gnd/11852402X
86865056,http://d-nb.info/gnd/118523961
86864963,http://d-nb.info/gnd/118523872
86864904,http://d-nb.info/gnd/118523813
86864696,http://d-nb.info/gnd/118523600
86864521,http://d-nb.info/gnd/118523430
86864483,http://d-nb.info/gnd/118523392
86864459,http://d-nb.info/gnd/118523368
86864289,http://d-nb.info/gnd/118523198
86864203,http://d-nb.info/gnd/118523112
86864033,http://d-nb.info/gnd/118522949
86863983,http://d-nb.info/gnd/118522892
86863800,http://d-nb.info/gnd/11852271X
86863673,http://d-nb.info/gnd/118522582
86863649,http://d-nb.info/gnd/118522558
86863363,http://d-nb.info/gnd/118522272
86863231,http://d-nb.info/gnd/118522140
86863096,http://d-nb.info/gnd/118522000
86863088,http://d-nb.info/gnd/118521993
86862995,http://d-nb.info/gnd/11852190X
86862952,http://d-nb.info/gnd/118521861
86862537,http://d-nb.info/gnd/118521446
86862502,http://d-nb.info/gnd/118521411
08686243X,http://d-nb.info/gnd/118521349
86862227,http://d-nb.info/gnd/118521136
86861905,http://d-nb.info/gnd/118520814
86861867,http://d-nb.info/gnd/118520776
86861859,http://d-nb.info/gnd/118520768
86861808,http://d-nb.info/gnd/118520717
86861611,http://d-nb.info/gnd/118520520
86861557,http://d-nb.info/gnd/118520466
86861484,http://d-nb.info/gnd/118520393
86861328,http://d-nb.info/gnd/118520237
86861204,http://d-nb.info/gnd/118520113
86861131,http://d-nb.info/gnd/118520040
86861077,http://d-nb.info/gnd/118519980
86861069,http://d-nb.info/gnd/118519972
86861026,http://d-nb.info/gnd/11851993X
08686095X,http://d-nb.info/gnd/118519867
86860941,http://d-nb.info/gnd/118519859
86860917,http://d-nb.info/gnd/118519824
86860801,http://d-nb.info/gnd/118519719
86860720,http://d-nb.info/gnd/118519638
86860704,http://d-nb.info/gnd/118519611
86860631,http://d-nb.info/gnd/118519549
86860615,http://d-nb.info/gnd/118519522
86860429,http://d-nb.info/gnd/118519336
86860089,http://d-nb.info/gnd/118518992
86860054,http://d-nb.info/gnd/118518968
86859897,http://d-nb.info/gnd/118518801
08685982X,http://d-nb.info/gnd/118518739
86859757,http://d-nb.info/gnd/118518666
86859382,http://d-nb.info/gnd/118518291
86859293,http://d-nb.info/gnd/118518208
86859013,http://d-nb.info/gnd/118517929
86858971,http://d-nb.info/gnd/118517880
08685870X,http://d-nb.info/gnd/118517600
